x	y	CIlow	CIhi	PredLo	PredHi
141.799	162.205	153.087	171.322	23.488	300.921
141.805	162.204	153.087	171.321	23.4874	300.921
141.81	162.203	153.086	171.321	23.4867	300.92
141.816	162.203	153.085	171.32	23.4861	300.919
141.821	162.202	153.085	171.319	23.4854	300.919
141.827	162.201	153.084	171.319	23.4848	300.918
141.833	162.201	153.083	171.318	23.4841	300.917
141.838	162.2	153.083	171.317	23.4835	300.917
141.844	162.199	153.082	171.317	23.4828	300.916
141.85	162.199	153.081	171.316	23.4822	300.915
141.855	162.198	153.081	171.316	23.4815	300.915
141.861	162.197	153.08	171.315	23.4809	300.914
141.866	162.197	153.079	171.314	23.4802	300.913
141.872	162.196	153.079	171.314	23.4796	300.913
141.878	162.195	153.078	171.313	23.4789	300.912
141.883	162.195	153.077	171.312	23.4782	300.911
141.889	162.194	153.077	171.312	23.4776	300.911
141.895	162.194	153.076	171.311	23.4769	300.91
141.9	162.193	153.075	171.311	23.4763	300.909
141.906	162.192	153.075	171.31	23.4756	300.909
141.911	162.192	153.074	171.309	23.475	300.908
141.917	162.191	153.073	171.309	23.4743	300.908
141.923	162.19	153.073	171.308	23.4737	300.907
141.928	162.19	153.072	171.307	23.473	300.906
141.934	162.189	153.071	171.307	23.4724	300.906
141.94	162.188	153.071	171.306	23.4717	300.905
141.945	162.188	153.07	171.305	23.4711	300.904
141.951	162.187	153.069	171.305	23.4704	300.904
141.956	162.186	153.068	171.304	23.4698	300.903
141.962	162.186	153.068	171.304	23.4691	300.902
141.968	162.185	153.067	171.303	23.4685	300.902
141.973	162.184	153.066	171.302	23.4678	300.901
141.979	162.184	153.066	171.302	23.4671	300.9
141.984	162.183	153.065	171.301	23.4665	300.9
141.99	162.182	153.064	171.3	23.4658	300.899
141.996	162.182	153.064	171.3	23.4652	300.898
142.001	162.181	153.063	171.299	23.4645	300.898
142.007	162.18	153.062	171.299	23.4639	300.897
142.013	162.18	153.062	171.298	23.4632	300.896
142.018	162.179	153.061	171.297	23.4626	300.896
142.024	162.179	153.06	171.297	23.4619	300.895
142.029	162.178	153.06	171.296	23.4613	300.894
142.035	162.177	153.059	171.295	23.4606	300.894
142.041	162.177	153.058	171.295	23.46	300.893
142.046	162.176	153.058	171.294	23.4593	300.893
142.052	162.175	153.057	171.293	23.4587	300.892
142.058	162.175	153.056	171.293	23.458	300.891
142.063	162.174	153.056	171.292	23.4574	300.891
142.069	162.173	153.055	171.292	23.4567	300.89
142.074	162.173	153.054	171.291	23.456	300.889
142.08	162.172	153.054	171.29	23.4554	300.889
142.086	162.171	153.053	171.29	23.4547	300.888
142.091	162.171	153.052	171.289	23.4541	300.887
142.097	162.17	153.052	171.288	23.4534	300.887
142.102	162.169	153.051	171.288	23.4528	300.886
142.108	162.169	153.05	171.287	23.4521	300.885
142.114	162.168	153.05	171.287	23.4515	300.885
142.119	162.167	153.049	171.286	23.4508	300.884
142.125	162.167	153.048	171.285	23.4502	300.883
142.131	162.166	153.048	171.285	23.4495	300.883
142.136	162.165	153.047	171.284	23.4489	300.882
142.142	162.165	153.046	171.283	23.4482	300.881
142.147	162.164	153.046	171.283	23.4475	300.881
142.153	162.164	153.045	171.282	23.4469	300.88
142.159	162.163	153.044	171.281	23.4462	300.88
142.164	162.162	153.044	171.281	23.4456	300.879
142.17	162.162	153.043	171.28	23.4449	300.878
142.176	162.161	153.042	171.28	23.4443	300.878
142.181	162.16	153.042	171.279	23.4436	300.877
142.187	162.16	153.041	171.278	23.443	300.876
142.192	162.159	153.04	171.278	23.4423	300.876
142.198	162.158	153.04	171.277	23.4417	300.875
142.204	162.158	153.039	171.276	23.441	300.874
142.209	162.157	153.038	171.276	23.4404	300.874
142.215	162.156	153.038	171.275	23.4397	300.873
142.22	162.156	153.037	171.274	23.4391	300.872
142.226	162.155	153.036	171.274	23.4384	300.872
142.232	162.154	153.036	171.273	23.4377	300.871
142.237	162.154	153.035	171.273	23.4371	300.87
142.243	162.153	153.034	171.272	23.4364	300.87
142.249	162.152	153.034	171.271	23.4358	300.869
142.254	162.152	153.033	171.271	23.4351	300.868
142.26	162.151	153.032	171.27	23.4345	300.868
142.265	162.15	153.032	171.269	23.4338	300.867
142.271	162.15	153.031	171.269	23.4332	300.866
142.277	162.149	153.03	171.268	23.4325	300.866
142.282	162.149	153.03	171.268	23.4319	300.865
142.288	162.148	153.029	171.267	23.4312	300.865
142.294	162.147	153.028	171.266	23.4305	300.864
142.299	162.147	153.028	171.266	23.4299	300.863
142.305	162.146	153.027	171.265	23.4292	300.863
142.31	162.145	153.026	171.264	23.4286	300.862
142.316	162.145	153.025	171.264	23.4279	300.861
142.322	162.144	153.025	171.263	23.4273	300.861
142.327	162.143	153.024	171.262	23.4266	300.86
142.333	162.143	153.023	171.262	23.426	300.859
142.339	162.142	153.023	171.261	23.4253	300.859
142.344	162.141	153.022	171.261	23.4247	300.858
142.35	162.141	153.021	171.26	23.424	300.857
142.355	162.14	153.021	171.259	23.4234	300.857
142.361	162.139	153.02	171.259	23.4227	300.856
